地区,2018,2013
北京,4146,3214
天津,1643,1386
河北,3229,2071
山西,2200,1432
内蒙古,1839,895
辽宁,2755,3606
吉林,1422,1180
黑龙江,2009,1791
上海,2883,2203
江苏,4430,3916
浙江,3431,3480
安徽,2457,1992
福建,1861,1115
江西,1619,1292
山东,4640,3345
河南,3381,2571
湖北,2895,2354
湖南,3061,2018
广东,4848,2820
广西,1246,1254
海南,654,221
重庆,1709,907
四川,4165,2812
贵州,1161,1282
云南,1784,1235
西藏,97,28
陕西,2518,1568
甘肃,1155,780
青海,286,253
宁夏,348,258
新疆,1614,1057
